Row Labels,Count of Column3
Høysand Grustak,1
main_entity,1
Håkestad Steinbrudd,1
Honningsvåg Lufthavn,1
Håland Høydebasseng,1
Hopen Fisk AS,1
Hålogaland Vaskeri,1
Hotran Steinbrudd,1
Håsken Gokart,1
Hp Halden Pharma,1
Haakonsvern Tørrdokk,1
Huntonit,1
Hadeland Glassverk AS,1
Forevatnet Vasseverk,1
Hafsil AS,1
Hydro Vigelands Brug,1
Forus Energigjenvinning,1
If Sikkerhetssenter,1
Hallingdal Renovasjon IKS,1
Inderøy Slakteri,1
Fosnavaag Pelagic AS,1
Ineos Bamble,1
Hammerfall Dolomitt,1
Ineos Tyssedal AS,1
Hammerfest Lng,1
Innvik Sellgren,1
Hammerfest Lufthavn,1
Inrigo AS,1
Hammerstrand Mølle,1
Isola AS,1
Fossberga Pukkverk,1
Franskleiv Skiskytteranlegg,1
Haraldrud Energigjenvinningsanlegg,1
Jackon Oltedal,1
Hardanger Energi AS,1
Franzefoss,1
Hardanger Fiskeforedling AS,1
Janusfabrikken AS,1
Harsco Metals Norway AS,1
John Greger AS,1
Harstad/narvik Lufthavn Evenes,1
Jonahola Riflebaner,1
Haslum Krematorium,1
Jotun Vindal,1
Hasvik Lufthavn,1
Juptjenn Vannverk AS,1
Haugaland Motorsenter,1
Kappa Bioscience AS,1
Haugesund Lufthavn,1
Kd Norway AS,1
Hauskje Vassverk,1
Kilemoen,1
Hav Line,1
Kings Bay AS,1
Hbc Berkåk AS,1
Kirkebygden Og Ytre Enebakk Vannverk,1
Frøseth AS,1
Kirkenes Lufthavn,1
Heidelberg Materials Brevik Sementfabrikk,1
Kjeller Flystasjon,1
Heidelberg Materials Kjøpsvik Sementfabrikk,1
Kjennskogen Steinbrudd,1
Framo Flatøy AS,1
Klinga Riflebane,1
Heidelberg Materials Tilslag Norge,1
Kna Raceway Motorsenter,1
Heistadmoen Skyte- Og Øvingsfelt,1
Knaskerøtter AS,1
Helikopterlandingsplass Store Bognøy Haakonsvern,1
Kongsberg Satellite Services AS,1
Hellefoss Paper,1
Krabyskogen Motorsenter,1
Lågen Gulrot AS,1
Kronos Titan,1
Lågen Potetpakkeri AS,1
Krystal AS,1
